Lokasi,Titik Koordinat,Kondisi,Jenis PJU,Jenis Tiang,Jenis Lampu,Latitude,Longitude,Kondisi_Biner,geometry,index_right,Kecamatan_Final
Jl panca tengah Ciwatin Cikatomas,-7.6787754 108.2725603,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.6787754,108.2725603,0,POINT (108.2725603 -7.6787754),3.0,Pancatengah
Jl Cikatomas cayur Cayur Cikatomas,-7.5879012 108.2950801,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.5879012,108.2950801,0,POINT (108.2950801 -7.5879012),4.0,Cikatomas
Jl Cikatomas Cayur Cikatomas,-7.5728705 108.2902133,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.5728705,108.2902133,0,POINT (108.2902133 -7.5728705),4.0,Cikatomas
Sukarasa Cilumba Cikatomas,-7.676224 108.261498,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.676224,108.261498,0,POINT (108.261498 -7.676224),4.0,Cikatomas
Cipancur Cilumba Cikatomas,-7.677340 108.261960,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.67734,108.26196,0,POINT (108.26196 -7.67734),4.0,Cikatomas
Cimahpar Cilumba Cikatomas,-7.679009 108.264367,Baik,PJU Konvensional,Tiang Tunggal,LED,-7.679009,108.264367,0,POINT (108.264367 -7.679009),4.0,Cikatomas
Jl Cikatomas Cayur Cikatomas,-7.5904044 108.2986552,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.5904044,108.2986552,0,POINT (108.2986552 -7.5904044),3.0,Pancatengah
Jl Lengkong Lengkong barang Cikatomas,-7.5732122 108.2814652,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.5732122,108.2814652,0,POINT (108.2814652 -7.5732122),4.0,Cikatomas
Jl Lengkong barang Cayurl Cikatomas,-7.5797897 108.2815903,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.5797897,108.2815903,0,POINT (108.2815903 -7.5797897),4.0,Cikatomas
Jl Lengkong nendet Cayur Cikatomas,-7.5802813 108.2817968,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.5802813,108.2817968,0,POINT (108.2817968 -7.5802813),4.0,Cikatomas
Jl ci buntu Cayur Cikatomas,-7.6113691 108.2879891,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.6113691,108.2879891,0,POINT (108.2879891 -7.6113691),4.0,Cikatomas
Jl Cikatomas Ci buntu Cikatomas,-7.6077917 108.2865397,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.6077917,108.2865397,0,POINT (108.2865397 -7.6077917),4.0,Cikatomas
Jl Cikatomas Cayur Cikatomas,-7.6127858 108.22266,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.6127858,108.22266,0,POINT (108.22266 -7.6127858),1.0,Karangnunggal
Jl Lengkong barang Lengkong barang Cikatomas,-7.6019889 108.2685367,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.6019889,108.2685367,0,POINT (108.2685367 -7.6019889),4.0,Cikatomas
Jl Cikatomas lengkong barang Lengkong Cikatomas,-7.6016662 108.2691874,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.6016662,108.2691874,0,POINT (108.2691874 -7.6016662),4.0,Cikatomas
