No;Lokasi;Kecamatan_Baru;Titik Koordinat;Lokasi Pemasangan;Kondisi;Jenis PJU;Jenis Tiang;Jenis Lampu
142;Pugeran Sukamaju Bantarkalong;Bantakalong;-7.540260 108.093532;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
143;Datar petir Sukamaju Bantarkalong;Bantakalong;-7.541760 108.094025;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
144;Datar petir Sukamaju Bantarkalong;Bantakalong;-7.542391 108.093663;Kanan;Baik;PJU Konvensional;Tiang Tunggal;SON T
145;Puspa Sukamaju Bantarkalong;Bantakalong;-7.550056 108.094221;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
146;Leuwinanggung Sukamaju Bantarkalong;Bantakalong;-7.547616 108.084846;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
147;Leuwinanggung Sukamaju Bantarkalong;Bantakalong;-7.546152 108.084096;Kiri;Baik;PJU Konvensional;Tiang Tunggal;Mercury
148;Cipurut Sukamaju Bantarkalong;Bantakalong;-7.553850 108.092876;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
149;Sangulat Sukamaju Bantarkalong;Bantakalong;-7.553188 108.090141;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
150;Cipurut Sukamaju Bantarkalong;Bantakalong;-7.551474 108.093331;Kiri;Baik;PJU Konvensional;Tiang Stang;Mercury
151;Sangulat Sukamaju Bantarkalong;Bantakalong;-7.551474 108.093331;Kiri;Baik;PJU Konvensional;Tiang Tunggal;Mercury
152;Jl babakan Cipicung Bantarkalong;Bantakalong;-7.5236857 108.0802077;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
153;Jl cipicung Cantanyan Bantarkalong;Bantakalong;-7.4994475 108.0789407;Kanan;Baik;PJU Solar Cell;Tiang Tunggal;LED
154;Cijalu Tobongjaya Bantarkalong;Bantakalong;-7.643775 108.088736;Kiri;Baik;PJU Konvensional;Tiang Tunggal;Mercury
155;Menol Tobongjaya Bantarkalong;Bantakalong;-7.643775 108.088730;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
156;Tobongjaya Tobongjaya Bantarkalong;Bantakalong;-7.643097 108.087530;Kiri;Baik;PJU Konvensional;Tiang Tunggal;Mercury
157;Ciberem Simpang Bantarkalong;Bantakalong;-7.632544 108.100169;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
158;Jl pamijahan Pamijahan Bantarkalong;Bantakalong;-7.5677805 108.0716743;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
159;Jl cilumbu Pamijahan Bantarkalong;Bantakalong;-7.5691359 108.0710315;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
160;Jl pamijahan Pamijahan Bantarkalong;Bantakalong;-7.5700489 108.0859791;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
161;Jl pamijahan Pamijahan Bantarkalong;Bantakalong;-7.5726828 108.0877933;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
162;Jl pamijahan Pamijan Bantarkalong;Bantakalong;-7.5734020 108.0898767;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
163;Jl pamijahan Pamjihan Bantarkalong;Bantakalong;-7.5749683 108.0931272;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
164;Jl pamijahan Pamijahan Bantarkalong;Bantakalong;-7.5755041 108.0933193;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
165;Jl pamijahan Parakanhonje Bantarkalong;Bantakalong;-7.5725937 108.1042443;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
166;Jl pamijahan Parakanhonje Bantarkalong;Bantakalong;-7.5732647 108.1051023;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
167;Jl pamijahan Parakanhonje Bantarkalong;Bantakalong;-7.5916842 108.1137115;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
168;Jl pamijahan Parakanhonje Bantarkalong;Bantakalong;-7.5982844 108.1147378;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
169;Kp beurih Simang Bantarkalong;Bantakalong;-7.6268630 108.1024503;Kiri;Baik;PJU Konvensional;Tiang Tunggal;Mercury
170;Balekambang Bojongasih Bojongasih;Bojongasih;-7.575512 108.140153;Kiri;Baik;PJU Solar Cell;Tiang Tunggal;LED
171;Balekambang Bojongasih Bojongasih;Bojongasih;-7.574588 108.140152;Kiri;Baik;PJU Solar Cell;Tiang Tunggal;LED
172;Sunara kapunduhan Bojongasih Bojongasih;Bojongasih;-7.570717 108.140829;Kiri;Baik;PJU Solar Cell;Tiang Tunggal;LED
173;Cibenteng Bojongasih Bojongasih;Bojongasih;-7.569312 108.140474;Kiri;Baik;PJU Konvensional;Tiang Tunggal;Mercury
174;Sampeulah Bojongasih Bojongasih;Bojongasih;-7.565754 108.144585;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
175;Girijaya Bojongasih Bojongasih;Bojongasih;-7.577856 108.133055;Kiri;Baik;PJU Konvensional;Tiang Tunggal;Mercury
176;Sub terminal Girijaya Bojongasih;Bojongasih;-7.577584 108.132880;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
177;Cisepet Girijaya Bojongasih;Bojongasih;-7.569047 108.128824;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
178;Cisepet Girijaya Bojongasih;Bojongasih;-7.569753 108.129268;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
179;Cisepet Girijaya Bojongasih;Bojongasih;-7.571977 108.130702;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
180;Cisalak kapunduhan Girijaya Bojongasih;Bojongasih;-7.572309 108.128260;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
181;Cisepet Girijaya Bojongasih;Bojongasih;-7.572890 108.131607;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
182;Sawah kupa Girijaya Bojongasih;Bojongasih;-7.568986 108.128708;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
183;Cisepet Girijaya Bojongasih;Bojongasih;-7.568705 108.128890;Kiri;Baik;PJU Solar Cell;Tiang Tunggal;LED
184;Girijaya Girijaya Bojongasih;Bojongasih;-7.566565 108.127817;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
185;Cikadongdong Cikadongdong Bojongasih;Bojongasih;-7.553791 108.128953;Kiri;Baik;PJU Konvensional;Tiang Stang;Mercury
