Titik Koordinat,Kondisi,Jenis PJU,Jenis Tiang,Jenis Lampu,Kecamatan,Kondisi_Biner,Latitude,Longitude,index_right,Kecamatan_Final
-7.404027 108.060376,Baik,PJU Solar Cell,Tiang Tunggal,LED,Puspahiang,0,-7.404027,108.060376,14.0,Puspahiang
-7.418515 108.081116,Baik,PJU Konvensional,Tiang Tunggal,SON T,Puspahiang,0,-7.418515,108.081116,14.0,Puspahiang
-7.418459 108.081576,Baik,PJU Solar Cell,Tiang Tunggal,LED,Puspahiang,0,-7.418459,108.081576,14.0,Puspahiang
-7.431695 108.061964,Baik,PJU Solar Cell,Tiang Tunggal,LED,Puspahiang,0,-7.431695,108.061964,14.0,Puspahiang
-7.432209 108.063598,Baik,PJU Konvensional,Tiang Tunggal,SON T,Puspahiang,0,-7.432209,108.063598,14.0,Puspahiang
-7.429523 108.060111,Baik,PJU Konvensional,Tiang Stang,SON T,Puspahiang,0,-7.429523,108.060111,14.0,Puspahiang
-7.428846 108.059196,Baik,PJU Konvensional,Tiang Tunggal,Mercury,Puspahiang,0,-7.428846,108.059196,14.0,Puspahiang
-7.424806 108.054381,Baik,PJU Konvensional,Tiang Tunggal,SON T,Puspahiang,0,-7.424806,108.054381,14.0,Puspahiang
-7.4147636 108.0273803,Baik,PJU Solar Cell,Tiang Tunggal,LED,Puspahiang,0,-7.4147636,108.0273803,14.0,Puspahiang
-7.4160466 108.0288934,Baik,PJU Solar Cell,Tiang Tunggal,LED,Puspahiang,0,-7.4160466,108.0288934,14.0,Puspahiang
-7.4018112 107.9935948,Baik,PJU Konvensional,Tiang Tunggal,Mercury,Puspahiang,0,-7.4018112,107.9935948,14.0,Puspahiang
-7.4094131 107.9884534,Baik,PJU Konvensional,Tiang Tunggal,SON T,Puspahiang,0,-7.4094131,107.9884534,14.0,Puspahiang
-7.4101259 107.9870251,Baik,PJU Solar Cell,Tiang Tunggal,LED,Puspahiang,0,-7.4101259,107.9870251,14.0,Puspahiang
-7.4095025 107.9905887,Baik,PJU Solar Cell,Tiang Tunggal,LED,Puspahiang,0,-7.4095025,107.9905887,14.0,Puspahiang
-7.4061441 107.9898873,Baik,PJU Solar Cell,Tiang Tunggal,LED,Puspahiang,0,-7.4061441,107.9898873,14.0,Puspahiang
-7.4068573 107.9886441,Baik,PJU Konvensional,Tiang Stang,Mercury,Puspahiang,0,-7.4068573,107.9886441,14.0,Puspahiang
-7.3931683 107.9876138,Baik,PJU Konvensional,Tiang Tunggal,Mercury,Puspahiang,0,-7.3931683,107.9876138,14.0,Puspahiang
-7.3940790 107.9893274,Baik,PJU Konvensional,Tiang Tunggal,Mercury,Puspahiang,0,-7.394079,107.9893274,14.0,Puspahiang
-7.3942625 107.9902082,Baik,PJU Solar Cell,Tiang Tunggal,LED,Puspahiang,0,-7.3942625,107.9902082,14.0,Puspahiang
-7.419567 108.053019,Rusak Berat,PJU Konvensional,Tiang Tunggal,SON T,Puspahiang,1,-7.419567,108.053019,14.0,Puspahiang
-7.418074 108.049509,Rusak Berat,PJU Konvensional,Tiang Tunggal,SON T,Puspahiang,1,-7.418074,108.049509,14.0,Puspahiang
-7.433260 108.047138,Baik,PJU Solar Cell,Tiang Tunggal,LED,Puspahiang,0,-7.43326,108.047138,14.0,Puspahiang
-7.433274 108.046904,Baik,PJU Solar Cell,Tiang Tunggal,LED,Puspahiang,0,-7.433274,108.046904,14.0,Puspahiang
-7.440418 108.049981,Baik,PJU Solar Cell,Tiang Tunggal,LED,Puspahiang,0,-7.440418,108.049981,14.0,Puspahiang
-7.435030 108.044446,Rusak Berat,PJU Konvensional,Tiang Tunggal,SON T,Puspahiang,1,-7.43503,108.044446,14.0,Puspahiang
-7.4185115 108.0487481,Baik,PJU Konvensional,Tiang Tunggal,Mercury,Puspahiang,0,-7.4185115,108.0487481,14.0,Puspahiang
-7.4137223 108.0494391,Baik,PJU Solar Cell,Tiang Tunggal,LED,Puspahiang,0,-7.4137223,108.0494391,14.0,Puspahiang
-7.4372724 108.0755353,Baik,PJU Konvensional,Tiang Tunggal,Mercury,Puspahiang,0,-7.4372724,108.0755353,14.0,Puspahiang
-7.4327470 108.0854404,Rusak Berat,PJU Konvensional,Tiang Tunggal,Mercury,Puspahiang,1,-7.432747,108.0854404,14.0,Puspahiang
-7.4347464 108.0889443,Baik,PJU Solar Cell,Tiang Tunggal,LED,Puspahiang,0,-7.4347464,108.0889443,14.0,Puspahiang
-7.4370230 108.0879294,Baik,PJU Konvensional,Tiang Stang,Mercury,Puspahiang,0,-7.437023,108.0879294,14.0,Puspahiang
-7.4316808 108.0833010,Baik,PJU Konvensional,Tiang Tunggal,Mercury,Puspahiang,0,-7.4316808,108.083301,14.0,Puspahiang
-7.4491309 108.0636548,Rusak Berat,PJU Konvensional,Tiang Tunggal,SON T,Puspahiang,1,-7.4491309,108.0636548,14.0,Puspahiang
-7.4404759 108.0500818,Baik,PJU Konvensional,Tiang Tunggal,LED,Puspahiang,0,-7.4404759,108.0500818,14.0,Puspahiang
-7.4176830 108.0434752,Baik,PJU Konvensional,Tiang Tunggal,Mercury,Puspahiang,0,-7.417683,108.0434752,14.0,Puspahiang
-7.4184337 108.0405818,Baik,PJU Konvensional,Tiang Tunggal,Mercury,Puspahiang,0,-7.4184337,108.0405818,14.0,Puspahiang
-7.4317695 108.0834173,Baik,PJU Konvensional,Tiang Tunggal,Mercury,Puspahiang,0,-7.4317695,108.0834173,14.0,Puspahiang
-7.4331243 108.0823116,Baik,PJU Solar Cell,Tiang Tunggal,LED,Puspahiang,0,-7.4331243,108.0823116,14.0,Puspahiang
-7.4171943 108.0454744,Baik,PJU Konvensional,Tiang Tunggal,Mercury,Puspahiang,0,-7.4171943,108.0454744,14.0,Puspahiang
-7.2133702 108.1876372,Baik,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,0,-7.2133702,108.1876372,33.0,Rajapolah
-7.218184 108.182163,Baik,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,0,-7.218184,108.182163,33.0,Rajapolah
-7.2147623 108.1744022,Baik,PJU Solar Cell,Tiang Tunggal,LED,Rajapolah,0,-7.2147623,108.1744022,33.0,Rajapolah
-7.2147832 108.1718997,Baik,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,0,-7.2147832,108.1718997,33.0,Rajapolah
-7.2133579 108.1640070,Baik,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,0,-7.2133579,108.164007,33.0,Rajapolah
-7.2222030 108.1976908,Baik,PJU Solar Cell,Tiang Tunggal,LED,Rajapolah,0,-7.222203,108.1976908,33.0,Rajapolah
-7.2214153 108.1966112,Baik,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,0,-7.2214153,108.1966112,33.0,Rajapolah
-7.2278634 108.1954626,Baik,PJU Konvensional,Tiang Stang,SON T,Rajapolah,0,-7.2278634,108.1954626,33.0,Rajapolah
-7.2265363 108.1944111,Baik,PJU Konvensional,Tiang Stang,SON T,Rajapolah,0,-7.2265363,108.1944111,33.0,Rajapolah
-7.2247697 108.1940544,Baik,PJU Solar Cell,Tiang Tunggal,LED,Rajapolah,0,-7.2247697,108.1940544,33.0,Rajapolah
-7.2195683 108.1919465,Baik,PJU Solar Cell,Tiang Tunggal,LED,Rajapolah,0,-7.2195683,108.1919465,33.0,Rajapolah
-7.2198776 108.1930358,Baik,PJU Konvensional,Tiang Stang,SON T,Rajapolah,0,-7.2198776,108.1930358,33.0,Rajapolah
-7.2195969 108.1921031,Baik,PJU Konvensional,Tiang Stang,SON T,Rajapolah,0,-7.2195969,108.1921031,33.0,Rajapolah
-7.2211043 108.1953972,Rusak Ringan,PJU Solar Cell,Tiang Stang,LED,Rajapolah,1,-7.2211043,108.1953972,33.0,Rajapolah
-7.2205698 108.1940081,Baik,PJU Konvensional,Tiang Stang,SON T,Rajapolah,0,-7.2205698,108.1940081,33.0,Rajapolah
-7.2200027 108.1904019,Baik,PJU Solar Cell,Tiang Tunggal,LED,Rajapolah,0,-7.2200027,108.1904019,33.0,Rajapolah
-7.2200572 108.1901558,Baik,PJU Solar Cell,Tiang Tunggal,LED,Rajapolah,0,-7.2200572,108.1901558,33.0,Rajapolah
-7.2200572 108.1901558,Baik,PJU Konvensional,Tiang Stang,SON T,Rajapolah,0,-7.2200572,108.1901558,33.0,Rajapolah
-7.2193634 108.1903912,Rusak Ringan,PJU Konvensional,Tiang Stang,SON T,Rajapolah,1,-7.2193634,108.1903912,33.0,Rajapolah
-7.2197755 108.1903831,Baik,PJU Konvensional,Tiang Stang,SON T,Rajapolah,0,-7.2197755,108.1903831,33.0,Rajapolah
-7.2215587 108.1902966,Baik,PJU Konvensional,Tiang Stang,SON T,Rajapolah,0,-7.2215587,108.1902966,33.0,Rajapolah
-7.2223287 108.1859622,Baik,PJU Konvensional,Tiang Stang,SON T,Rajapolah,0,-7.2223287,108.1859622,33.0,Rajapolah
-7.2132478 108.1875983,Baik,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,0,-7.2132478,108.1875983,33.0,Rajapolah
-7.2117510 108.1890876,Baik,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,0,-7.211751,108.1890876,33.0,Rajapolah
-7.2122450 108.1892838,Baik,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,0,-7.212245,108.1892838,33.0,Rajapolah
-7.2118974 108.1888640,Rusak Berat,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,1,-7.2118974,108.188864,33.0,Rajapolah
-7.2136240 108.1899597,Baik,PJU Konvensional,Tiang Double Arm,SON T,Rajapolah,0,-7.213624,108.1899597,33.0,Rajapolah
-7.2148175 108.1902255,Baik,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,0,-7.2148175,108.1902255,33.0,Rajapolah
-7.2165614 108.1691860,Baik,PJU Solar Cell,Tiang Tunggal,LED,Rajapolah,0,-7.2165614,108.169186,33.0,Rajapolah
-7.2147772 108.1701053,Baik,PJU Konvensional,Tiang Stang,SON T,Rajapolah,0,-7.2147772,108.1701053,33.0,Rajapolah
-7.2147812 108.1701180,Baik,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,0,-7.2147812,108.170118,33.0,Rajapolah
-7.2221301 108.1672702,Baik,PJU Solar Cell,Tiang Tunggal,LED,Rajapolah,0,-7.2221301,108.1672702,33.0,Rajapolah
-7.2231023 108.1689483,Baik,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,0,-7.2231023,108.1689483,33.0,Rajapolah
-7.2219089 108.1669614,Baik,PJU Konvensional,Tiang Stang,SON T,Rajapolah,0,-7.2219089,108.1669614,33.0,Rajapolah
-7.208812 108.186950,Baik,PJU Solar Cell,Tiang Stang,LED,Rajapolah,0,-7.208812,108.18695,33.0,Rajapolah
-7.209030 108.186210,Baik,PJU Konvensional,Tiang Stang,SON T,Rajapolah,0,-7.20903,108.18621,33.0,Rajapolah
-7.208974 108.186030,Baik,PJU Konvensional,Tiang Stang,SON T,Rajapolah,0,-7.208974,108.18603,33.0,Rajapolah
-7.208653 108.185710,Baik,PJU Konvensional,Tiang Stang,SON T,Rajapolah,0,-7.208653,108.18571,33.0,Rajapolah
-7.208845 108.185440,Baik,PJU Konvensional,Tiang Stang,SON T,Rajapolah,0,-7.208845,108.18544,33.0,Rajapolah
-7.208083 108.185600,Baik,PJU Solar Cell,Tiang Stang,LED,Rajapolah,0,-7.208083,108.1856,33.0,Rajapolah
-7.208377 108.185790,Baik,PJU Konvensional,Tiang Stang,SON T,Rajapolah,0,-7.208377,108.18579,33.0,Rajapolah
-7.207621 108.186010,Baik,PJU Konvensional,Tiang Stang,SON T,Rajapolah,0,-7.207621,108.18601,33.0,Rajapolah
-7.208495 108.186120,Baik,PJU Konvensional,Tiang Stang,SON T,Rajapolah,0,-7.208495,108.18612,33.0,Rajapolah
-7.208571 108.185490,Baik,PJU Konvensional,Tiang Stang,SON T,Rajapolah,0,-7.208571,108.18549,33.0,Rajapolah
-7.194781 108.181120,Baik,PJU Solar Cell,Tiang Tunggal,LED,Rajapolah,0,-7.194781,108.18112,33.0,Rajapolah
-7.191835 108.183010,Rusak Ringan,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,1,-7.191835,108.18301,34.0,Jamanis
-7.2198736 108.1913584,Baik,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,0,-7.2198736,108.1913584,33.0,Rajapolah
-7.2237406 108.1930948,Baik,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,0,-7.2237406,108.1930948,33.0,Rajapolah
-7.192360 108.184770,Baik,PJU Solar Cell,Tiang Tunggal,LED,Rajapolah,0,-7.19236,108.18477,33.0,Rajapolah
-7.2185225 108.1921051,Baik,PJU Konvensional,Tiang Stang,SON T,Rajapolah,0,-7.2185225,108.1921051,33.0,Rajapolah
-7.2183183 108.1921685,Baik,PJU Konvensional,Tiang Stang,SON T,Rajapolah,0,-7.2183183,108.1921685,33.0,Rajapolah
-7.191977 108.184740,Baik,PJU Solar Cell,Tiang Tunggal,LED,Rajapolah,0,-7.191977,108.18474,33.0,Rajapolah
-7.2183918 108.1925061,Baik,PJU Solar Cell,Tiang Stang,LED,Rajapolah,0,-7.2183918,108.1925061,33.0,Rajapolah
-7.2182076 108.1927083,Baik,PJU Solar Cell,Tiang Tunggal,LED,Rajapolah,0,-7.2182076,108.1927083,33.0,Rajapolah
-7.2150696 108.1944121,Baik,PJU Solar Cell,Tiang Tunggal,LED,Rajapolah,0,-7.2150696,108.1944121,33.0,Rajapolah
-7.2172992 108.1870642,Baik,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,0,-7.2172992,108.1870642,33.0,Rajapolah
-7.2155536 108.1828857,Baik,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,0,-7.2155536,108.1828857,33.0,Rajapolah
-7.2176195 108.1815127,Baik,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,0,-7.2176195,108.1815127,33.0,Rajapolah
-7.2192616 108.1853708,Baik,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,0,-7.2192616,108.1853708,33.0,Rajapolah
-7.2185205 108.1854583,Baik,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,0,-7.2185205,108.1854583,33.0,Rajapolah
-7.2207883 108.1864741,Baik,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,0,-7.2207883,108.1864741,33.0,Rajapolah
-7.2221580 108.1904783,Baik,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,0,-7.222158,108.1904783,33.0,Rajapolah
-7.2220689 108.1905172,Baik,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,0,-7.2220689,108.1905172,33.0,Rajapolah
-7.2220689 108.1905172,Baik,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,0,-7.2220689,108.1905172,33.0,Rajapolah
-7.2253561 108.1900442,Baik,PJU Konvensional,Tiang Tunggal,SON T,Rajapolah,0,-7.2253561,108.1900442,33.0,Rajapolah
